nbNodesNumber of Nodes =	3421
voxel size (µm)	5

all volumes, lenghts and surfaces are reported as voxels

Node ID	Location Node(x,y,z)(µm))	Node Type	Node Volume	Node Dmax	Nodes radius
176	1244,23,33	cell	1	10.0491	5.02456
177	592,121,34	cell	12376	17.5274	8.4483
178	849,200,31	cell	207	9.28316	1.96593
179	849,458,31	cell	812	10.4294	4.13428
180	34,788,42	border_cell	546479	53.2984	18.9293
181	48,74,31	cell	1143	8.12613	1.70711
182	867,211,36	cell	3840	12.2117	5.16756
183	898,213,34	cell	1	8.17737	4.08869
184	16,852,34	cell	1	30.0706	15.0353
185	842,211,37	cell	5346	10.7936	4.86908
186	1123,582,55	cell	139831	44.7241	15
187	47,652,34	cell	507	8.1372	2.53501
188	181,765,37	cell	64608	30.9326	11.9894
189	1119,6,39	border_cell	1570	9.12434	3.84153
190	965,219,39	cell	6411	12.7473	5.30421
191	697,359,36	cell	3139	10.1281	4.46641
192	617,137,37	cell	1	12.0011	6.00055
193	891,195,38	cell	1416	10.7985	4.53961
194	838,463,43	cell	6204	12.9419	5.3997
195	121,789,36	cell	40618	25.8802	10.7312
196	705,822,42	cell	2585	9.83705	4.69364
197	58,65,41	cell	4295	10.2281	4.56074
198	664,193,38	cell	2412	12.7592	5.12659
199	1067,290,43	cell	6975	15.5016	7.05876
200	1057,108,38	cell	437	10.8101	3.50627
201	845,248,41	cell	1390	9.78221	4.64536
202	200,425,37	cell	292	8.78909	2.66678
203	691,824,38	cell	664	9.00983	3.08085
204	647,174,38	cell	1086	12.9925	4.57351
205	653,186,42	cell	3421	14.0932	6.31604
206	915,218,43	cell	14692	17.0449	7.95557
207	217,451,51	cell	31643	23.2106	7.17071
208	1069,896,44	cell	2028	9.22758	2.98876
209	352,496,45	cell	37535	28.6236	12.8918
210	169,691,42	cell	1511	9.99477	4.27034
211	1084,895,41	cell	2	12.0734	5.61057
212	198,248,43	border_cell	290685	43.8747	11.2166
213	1245,26,38	cell	4009	12.2086	5.6649
214	48,657,41	cell	2301	10.2671	3.42713
215	921,738,48	border_cell	123740	42.8579	17.0148
216	678,821,43	cell	2	10.1516	4.50576
217	3,658,43	border_cell	822	12.5047	3.67984
218	856,821,49	border_cell	356095	60.6703	22.0411
219	1117,51,43	cell	38916	27.648	11.6464
220	226,280,43	cell	87959	40.0977	14.4094
221	274,323,76	border_cell	307329	42.1402	18.1209
222	1138,476,49	cell	2606	10.0399	3.21013
223	1133,471,48	cell	1	8.28447	4.14223
224	5,941,48	border_cell	3982	14.5625	6.2079
225	839,247,52	cell	2701	11.876	4.71092
226	590,147,51	cell	1	14.0129	7.00646
227	632,170,54	cell	25618	19.8191	7.04056
228	721,180,52	cell	1946	9.34993	3.79352
229	79,285,48	cell	1055	9.39953	2.9947
230	785,505,44	cell	10207	20.1624	8.40455
231	1094,658,44	cell	62360	34.481	13.4534
232	1025,906,54	cell	32791	22.6467	10.9098
233	4,984,52	border_cell	2964	9.74438	2.86805
234	72,290,55	cell	3870	13.2268	6.61342
235	80,467,62	cell	52835	40.5354	15.7038
236	973,244,54	cell	1683	8.51402	3.50722
237	101,311,51	cell	815	8.44457	2.30442
238	609,171,56	cell	3911	16.4016	6.40343
239	696,302,63	border_cell	516417	70.0881	32.0437
240	686,821,57	cell	1	12.2812	6.14062
241	1099,898,45	cell	9897	24.486	5.44039
242	1218,954,58	cell	5344	12.086	4.93356
243	112,2,56	border_cell	590	12.3971	4.36955
244	1093,92,55	cell	199704	42.6223	13.9178
245	1026,502,56	cell	1151	10.2611	2.90042
246	1037,503,58	cell	3844	11.1186	3.44223
247	157,725,66	cell	159230	37.7126	14.2691
248	964,882,59	cell	2797	8.86317	3.91713
249	1019,501,58	cell	294	8.67154	2.73824
250	392,550,60	cell	1	8.29051	4.14526
251	11,695,60	border_cell	36795	33.3472	6.68325
252	595,167,70	cell	18511	17.1866	2.95829
253	98,310,59	cell	1350	10.6001	3.65912
254	482,837,60	cell	31755	25.4719	9.82418
255	441,840,71	cell	42953	25.135	7.82895
256	3,178,56	border_cell	1325	12.0968	3.84878
257	488,272,64	cell	166801	38.5258	15.826
258	461,602,62	cell	1	20.1763	10.0882
259	79,748,83	cell	410618	51.5867	21.4523
260	958,721,63	cell	649	9.5209	4.21829
261	1134,467,72	cell	6797	12.9379	3.74848
262	688,821,54	cell	8390	14.4726	3.79991
263	282,920,64	cell	1543	8.54638	3.1822
264	105,307,67	cell	5866	12.0136	5.04372
265	400,830,67	cell	1462	11.0126	4.45784
266	422,842,65	cell	1	10.5863	5.29314
267	1261,881,61	border_cell	1.01589e+06	99.4497	18.6676
268	57,992,66	border_cell	1785	9.45546	4.51804
269	572,132,67	cell	45245	24.0324	7.11421
270	1014,223,65	cell	3	14.0473	6.74232
271	148,634,66	cell	2093	10.3607	4.64126
272	360,954,63	cell	68283	34.2152	13.8364
273	977,536,66	cell	2099	12.7543	4.36195
274	232,800,69	cell	1871	8.90921	4.43249
275	754,814,65	cell	521	8.35617	2.89391
276	973,887,68	cell	513	8.44548	3.66035
277	113,4,74	border_cell	4664	14.8766	5.73082
